id,indd_large_direct,outdd_large_direct,alpha_large_direct
1,14.983,10.224,17.876
2,12.343,8.936,18.457
3,11.511,13.568,14.015
4,11.936,17.568,23.52
5,17.159,7.552,14.058
6,15.968,10.805,12.918
7,12.197,16.208,21.33
8,13.352,11.454,13.704
9,15.838,19.279,19.311
10,17.244,12.293,19.651
11,13.458,14.313,10.085
12,12.934,7.672,12.048
13,9.367,9.784,30.935
14,8.288,7.314,7.879
15,10.806,17.168,16.007
16,13.447,20.587,9.703
17,13.013,12.87,13.659
18,34.2,13.071,18.68
19,20.199,15.883,18.983
20,8,9.832,13.798
21,16.853,9.479,8.745
22,20.237,12.43,11.573
23,17.331,8.374,20.588
24,23.6,31.512,16.302
25,13.055,16.903,32.208
26,13.408,13.535,11.904
27,14.51,25.787,12.282
28,26.065,24.524,15.684
29,13.718,17.151,13.782
30,15.255,26.791,70.455
