matrix_indd_path_med,matrix_outdd_path_med,matrix_alpha_path_med
33.784,45.327,64.223
26.297,19.976,14.296
34.08,15.409,17.487
41.583,19.631,46.201
21.631,23.263,15.264
55.25,20.166,18.005
35.447,17.618,17.918
25.311,33.213,20.055
62.368,24.583,24.591
34.77,20.629,21.404
25.863,43.06,12.391
31.047,18.144,80.28
79.55,39.336,19.72
29.111,20.735,50.183
24.575,14.079,15.919
28.543,63.991,17.783
17.341,8.52,16.649
57.696,28.251,31.744
52,16.07,18.303
29.839,15.192,14.071
25.744,25.964,16.527
49.08,64.903,23.14
54.063,26.296,25.808
53.229,17.039,50.032
32.335,37.503,27.101
27.6,44.551,17.176
26.106,19.961,26.039
37.121,32.133,65.364
43.07,28.128,14.199
77.615,56.655,16.792
