parallel_large_direct,hier_large_direct,organic_large_direct
,25.355,11.527
41.567,14.663,12.311
,6.483,20.723
19.896,32.031,8.463
19.97,10.593,23.309
,14.017,21.597
28.756,26.254,24.194
26.321,15.191,11.684
37.08,17.219,23.639
28.31,15.469,15.686
13.571,10.368,14.212
21.757,13.759,21.777
34.143,23.071,15.872
25.558,14.848,16.296
15.583,10.121,24.335
,10.871,17.01
29.422,10.639,14.84
41.633,15.656,26.082
25.728,7.367,17.895
22.519,26.36,12.616
,17.083,24.328
,15.519,17.04
18.66,15.423,21.808
,43.801,15.623
46.536,23.095,16.879
29.703,7.296,9.447
30.484,16.551,12.64
25.285,7.548,20.375
41.871,43.728,13.399
,28.687,18.311
28.37968182,17.96886667,17.46393333
