node_h_path_med,node_p_path_med,node_o_path_med
45.031,22.727,62.654
12.488,19.863,47.929
7.515,22.616,62.649
12.56,31.079,292.141
8.702,26.477,31.319
33.414,18.934,24.681
7.539,23.242,37.409
9.08,39.065,44.765
15.168,37.984,72.59
8.973,20.539,31.837
9.455,16.055,26.58
12.512,18.016,55.039
13.879,28.103,32.079
15.664,32.503,35.35
12.319,21.8,36.92
41.78,19.232,34.689
10.994,22.716,39.818
18.071,33.844,54.816
11.415,18.559,26.081
8.72,19.615,29.574
14.758,41.039,36.229
23.208,31.508,37.196
8.891,18.656,39.279
33.172,32.719,39.644
15.328,20.769,26.279
10.687,20.933,25.663
19.902,31.303,42.224
10.198,50.933,54.221
244.11,29.846,33.424
10.854,22.623,43.311
23.54623333,26.44326667,48.54633333
